HandleCount  Name                                               Priority  ProcessId  ThreadCount  WorkingSetSize  
338          chrome.exe                                         8         4344       14           37941248        

212          chrome.exe                                         8         14528      8            18456576        

724          Taskmgr.exe                                        8         136        16           65388544        

542          InetMgr.exe                                        8         8764       11           64745472        

254          chrome.exe                                         8         5744       10           19779584        

2531         Ssms.exe                                           8         10180      37           260927488       

398          WmiPrvSE.exe                                       8         5384       11           22384640        

3764         devenv.exe                                         8         2040       67           1324306432      

794          PerfWatson2.exe                                    8         6768       26           86786048        

1149         Microsoft.ServiceHub.Controller.exe                8         15068      23           66519040        

1107         ServiceHub.VSDetouredHost.exe                      8         10304      14           52359168        

1681         ServiceHub.IdentityHost.exe                        8         8016       21           74555392        

992          ServiceHub.SettingsHost.exe                        8         9864       17           78143488        

845          ServiceHub.Host.CLR.x86.exe                        8         13524      22           75698176        

225          sppsvc.exe                                         8         10804      4            13250560        

780          ServiceHub.ThreadedWaitDialog.exe                  8         4060       15           82944000        

618          Microsoft.VisualStudio.Web.Host.exe                8         2296       10           83292160        

1600         ServiceHub.RoslynCodeAnalysisService.exe           8         7956       46           467939328       

749          ServiceHub.Host.CLR.x64.exe                        8         9684       25           874692608       

452          Microsoft.Alm.Shared.Remoting.RemoteContainer.dll  6         6148       12           70578176        

750          ServiceHub.Host.CLR.x86.exe                        8         14440      24           106717184       

3141         ServiceHub.DataWarehouseHost.exe                   8         4928       49           142962688       

1423         WebViewHost.exe                                    8         5492       21           65900544        

105          conhost.exe                                        8         14644      2            11853824        

108          VsDebugConsole.exe                                 8         8500       2            6422528         

258          conhost.exe                                        8         4248       8            22777856        

563          chrome.exe                                         4         9856       20           237514752       

337          chrome.exe                                         4         9876       15           135725056       

378          chrome.exe                                         4         8784       15           103145472       

337          msedge.exe                                         4         9140       16           137297920       

228          MusNotifyIcon.exe                                  6         11844      3            3284992         

1715         ServiceHub.Host.CLR.exe                            8         11576      43           121200640       

782          ServiceHub.TestWindowStoreHost.exe                 8         9520       13           84238336        

953          w3wp.exe                                           8         8252       39           235311104       

469          MSBuild.exe                                        8         9932       22           70426624        

102          conhost.exe                                        8         11588      2            11997184        

409          VBCSCompiler.exe                                   8         9576       20           117342208       

105          conhost.exe                                        8         10976      2            11853824        

172          WmiPrvSE.exe                                       8         12592      4            10022912        

327          WUDFHost.exe                                       8         13544      8            33456128        

537          StandardCollector.Service.exe                      8         9948       23           44093440        

438          CloudForensicConsole.exe                           8         6456       29           64471040        

500          IntelliTrace.exe                                   8         3844       20           50475008        

105          conhost.exe                                        8         11880      4            11902976        

1255         msedgewebview2.exe                                 8         16208      48           100040704       

169          msedgewebview2.exe                                 8         8544       9            8441856         

425          msedgewebview2.exe                                 10        15928      22           54026240        

260          msedgewebview2.exe                                 8         14544      14           26128384        

206          msedgewebview2.exe                                 8         1316       8            18939904        

326          msedgewebview2.exe                                 8         14960      17           86523904        

246          msedgewebview2.exe                                 4         5856       16           53858304        

287          msedgewebview2.exe                                 8         1440       17           68280320        

328          msedgewebview2.exe                                 4         14720      17           71536640        

186          WMIC.exe                                           8         7340       7            12271616        

102          conhost.exe                                        8         12292      4            12025856        




